time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Current,SoC,Temperature 1,Temperature 2,Temperature 3,Temperature 4,UV\OV Fault
9.099999999999984,41017,40992,41007,40969,40957,40991,40972,40933,41046,41033,41012,41046,41033,41057,39837,00000,00000,12139,12190,12716,12866,0
9.199999999999983,41017,40992,41007,40969,40955,40990,40972,40933,41046,41034,41012,41047,41034,41057,39838,00000,00000,12139,12190,12716,12866,0
9.299999999999983,41017,40991,41007,40968,40955,40990,40971,40932,41045,41033,41012,41046,41034,41058,39838,00000,00000,12139,12190,12716,12866,0
9.399999999999983,41017,40992,41008,40968,40956,40990,40971,40932,41045,41032,41012,41045,41034,41057,39837,00000,00000,12139,12190,12716,12866,0
9.499999999999982,41017,40991,41007,40968,40954,40990,40972,40933,41046,41033,41013,41045,41033,41056,39837,00000,00000,12139,12190,12716,12866,0
9.599999999999982,41016,40991,41006,40968,40955,40990,40972,40932,41045,41032,41011,41046,41033,41056,39837,00000,00000,12139,12190,12716,12866,0
9.699999999999982,41016,40990,41006,40968,40955,40988,40971,40932,41045,41033,41011,41046,41033,41056,39837,00000,00000,12139,12190,12716,12866,0
9.799999999999981,41016,40991,41007,40967,40954,40989,40971,40932,41045,41033,41011,41045,41033,41056,39838,00000,00000,12139,12190,12716,12866,0
9.89999999999998,41016,40991,41006,40967,40954,40989,40971,40932,41044,41032,41011,41046,41033,41057,39838,00000,00000,12139,12190,12716,12866,0
9.99999999999998,41016,40990,41006,40967,40954,40989,40971,40932,41044,41032,41011,41046,41033,41056,39839,00000,00000,12139,12190,12716,12866,0
10.09999999999998,41015,40990,41006,40967,40955,40990,40971,40932,41045,41032,41011,41045,41033,41056,39838,00000,00000,12139,12190,12716,12866,0
10.19999999999998,41015,40990,41006,40967,40954,40989,40970,40931,41043,41032,41011,41045,41032,41056,39838,00000,00000,12139,12190,12716,12866,0
10.29999999999998,41015,40991,41006,40967,40953,40988,40970,40930,41043,41032,41011,41044,41032,41056,39837,00000,00000,12139,12190,12716,12866,0
10.399999999999979,41015,40991,41006,40968,40954,40989,40971,40931,41044,41032,41010,41044,41032,41055,39838,00000,00000,12139,12190,12716,12866,0
10.499999999999979,41016,40990,41005,40967,40954,40989,40970,40932,41043,41032,41010,41044,41032,41056,39838,00000,00000,12139,12190,12716,12866,0
10.599999999999978,41014,40989,41005,40966,40953,40989,40971,40931,41043,41031,41011,41044,41031,41056,39838,00000,00000,12139,12190,12716,12866,0
10.699999999999978,41016,40990,41005,40967,40953,40988,40970,40931,41044,41031,41010,41044,41033,41055,39837,00000,00000,12139,12190,12716,12866,0
10.799999999999978,41016,40990,41005,40966,40953,40988,40970,40930,41042,41031,41010,41044,41032,41056,39837,00000,00000,12139,12190,12716,12866,0
10.899999999999977,41015,40990,41005,40966,40953,40987,40970,40930,41043,41031,41009,41044,41032,41056,39838,00000,00000,12139,12190,12716,12866,0
10.999999999999977,41015,40989,41004,40966,40953,40987,40970,40930,41043,41030,41009,41044,41031,41055,39838,00000,00000,12139,12190,12716,12866,0
11.099999999999977,41015,40989,41005,40966,40953,40988,40970,40930,41043,41031,41010,41044,41031,41055,39838,00000,00000,12139,12190,12716,12866,0
11.199999999999976,41014,40989,41005,40967,40953,40988,40969,40930,41043,41030,41008,41043,41031,41054,39837,00000,00000,12139,12190,12716,12866,0
11.299999999999976,41014,40989,41005,40965,40953,40987,40970,40930,41042,41030,41010,41044,41031,41056,39838,00000,00000,12139,12190,12716,12866,0
11.399999999999975,41015,40990,41005,40965,40952,40988,40970,40930,41043,41030,41009,41044,41031,41055,39837,00000,00000,12139,12190,12716,12866,0
11.499999999999975,41014,40989,41005,40966,40953,40988,40970,40930,41043,41030,41009,41042,41031,41055,39838,00000,00000,12139,12190,12716,12866,0
11.599999999999975,41015,40989,41005,40966,40953,40987,40969,40930,41043,41030,41010,41044,41031,41054,39837,00000,00000,12139,12190,12716,12866,0
11.699999999999974,41014,40990,41004,40965,40952,40987,40969,40930,41043,41030,41008,41043,41031,41055,39838,00000,00000,12139,12190,12716,12866,0
11.799999999999974,41013,40988,41004,40966,40952,40988,40969,40930,41043,41030,41010,41043,41031,41055,39838,00000,00000,12139,12190,12716,12866,0
11.899999999999974,41015,40989,41004,40965,40952,40987,40969,40929,41042,41030,41008,41043,41030,41054,39838,00000,00000,12139,12190,12716,12866,0
11.999999999999973,41020,40993,41007,40969,40956,40996,40974,40933,41047,41034,41018,41047,41034,41057,39838,00000,00000,12139,12190,12716,12866,0
12.099999999999973,41022,40997,41009,40971,40957,40997,40975,40934,41049,41036,41019,41049,41035,41058,39838,00000,00000,12139,12190,12716,12866,0
12.199999999999973,41023,40997,41009,40972,40958,40998,40976,40933,41049,41036,41019,41049,41035,41058,39837,00000,00000,12139,12190,12716,12866,0
12.299999999999972,41024,40997,41009,40971,40958,40998,40976,40934,41049,41036,41019,41050,41036,41059,39838,00000,00000,12139,12190,12716,12866,0
12.399999999999972,41024,40996,41010,40971,40958,40999,40976,40935,41050,41037,41020,41051,41037,41060,39838,00000,00000,12139,12190,12716,12866,0
12.499999999999972,41024,40997,41010,40972,40958,40998,40977,40935,41050,41038,41020,41050,41036,41060,39838,00000,00000,12139,12190,12716,12866,0
12.599999999999971,41024,40997,41010,40972,40958,40998,40976,40935,41050,41038,41020,41051,41037,41060,39838,00000,00000,12139,12190,12716,12866,0
12.69999999999997,41024,40997,41010,40971,40958,40998,40977,40935,41050,41037,41021,41050,41037,41060,39837,00000,00000,12139,12190,12716,12866,0
12.79999999999997,41025,40997,41010,40972,40959,40998,40976,40934,41050,41037,41021,41051,41037,41060,39838,00000,00000,12139,12190,12716,12866,0
12.89999999999997,41024,40998,41011,40973,40959,40999,40977,40934,41050,41037,41020,41050,41037,41060,39837,00000,00000,12139,12190,12716,12866,0
12.99999999999997,41024,40998,41010,40972,40959,40999,40977,40935,41050,41037,41021,41052,41038,41060,39837,00000,00000,12139,12190,12716,12866,0
13.09999999999997,41024,40999,41011,40973,40958,40999,40977,40935,41051,41038,41021,41051,41036,41060,39837,00000,00000,12139,12190,12716,12866,0
13.199999999999969,41024,40998,41010,40972,40960,40999,40977,40935,41051,41039,41022,41051,41038,41060,39837,00000,00000,12139,12190,12716,12866,0
13.299999999999969,41025,40998,41011,40972,40959,41000,40977,40936,41051,41038,41020,41051,41037,41061,39837,00000,00000,12139,12190,12716,12866,0
13.399999999999968,41026,40999,41012,40973,40959,40999,40977,40935,41052,41039,41022,41052,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
13.499999999999968,41026,40999,41011,40972,40959,41000,40978,40936,41052,41039,41021,41051,41038,41061,39837,00000,00000,12139,12190,12716,12866,0
13.599999999999968,41025,40999,41011,40973,40958,40999,40977,40936,41052,41038,41021,41051,41038,41060,39837,00000,00000,12139,12190,12716,12866,0
13.699999999999967,41025,40999,41011,40973,40960,41000,40977,40935,41051,41039,41022,41051,41037,41061,39837,00000,00000,12139,12190,12716,12866,0
